"Source: Calculated by ReFED based on data from various sources. See https://insights.refed.com/methodology for more information. Data last updated January 23, 2021",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
year,sector,sub_sector,sub_sector_category,food_type,food_category,tons_supply,tons_surplus,us_dollars_surplus,tons_waste,tons_uneaten,tons_eaten,tons_donated,tons_industrial_uses,tons_animal_feed,tons_anaerobically_digested,tons_composted,tons_not_harvested,tons_incineration,tons_land_application,tons_landfilled,tons_dumping,tons_sewer,upstream_mtco2e_footprint,downstream_mtco2e_footprint,total_mtco2e_footprint,gallons_water_footprint,meals_wasted
2019,Foodservice,Caterers,Caterers,Ready-to-drink Beverages,Not Applicable,84062.32705,1542.494245,7117070.52,1204.005329,1500.425479,42.06876549,42.06876549,0,7.614699136,0.422164068,288.383288,0,167.5745582,0,1036.430771,0,0,4945.826028,145.348699,5091.174727,24657154.13,2500709.133
2019,Foodservice,Colleges & Universities,Colleges/universities,Breads & Bakery,Not Applicable,152712.0242,3918.468965,18079821.08,3108.035362,3813.233205,105.2357604,105.2357604,0,18.14206138,1.056947591,685.998836,0,369.9087325,0,2738.126629,0,0,8669.979111,909.5304422,9579.509554,73902178.71,6355388.676
2019,Foodservice,Colleges & Universities,Colleges/universities,Dairy & Eggs,Not Applicable,228169.617,5854.650725,27013366.32,4643.768177,5697.416196,157.2345287,157.2345287,0,27.10636062,1.579203264,1024.962458,0,552.6868907,0,4091.081287,0,0,25822.95335,416.1246426,26239.078,1432656755,9495693.662
2019,Foodservice,Colleges & Universities,Colleges/universities,Dry Goods,Not Applicable,501746.9712,12874.42784,59402627.35,10211.68659,12528.66774,345.7600954,345.7600954,0,59.60712262,3.472681706,2253.901355,0,1215.363277,0,8996.323311,0,0,34980.55394,1799.338533,36779.89247,1212255505,20881112.9
2019,Foodservice,Colleges & Universities,Colleges/universities,Fresh Meat & Seafood,Not Applicable,390178.844,10011.67851,46193898.13,7941.022662,9742.801405,268.8771075,268.8771075,0,46.35292196,2.700498481,1752.725329,0,945.1158965,0,6995.906765,0,0,113988.6777,1110.887569,115099.5653,12073655104,16238002.35
2019,Foodservice,Colleges & Universities,Colleges/universities,Frozen,Not Applicable,23053.7818,591.5416877,2729374.143,469.1966428,575.6550392,15.88664855,15.88664855,0,2.738770093,0.159559401,103.5600672,0,55.84232972,0,413.3543131,0,0,4514.359847,83.98579153,4598.345638,97295480.27,959425.0655
2019,Foodservice,Colleges & Universities,Colleges/universities,Prepared Foods,Not Applicable,0,237005.5971,2297135524,191723.7982,233526.3816,995033.9982,3479.215417,0,1348.628867,3770.063926,36683.89071,0,22773.20229,0,168950.5959,0,0,1086959.051,25070.02997,1112029.081,56034749647,389210636.1
2019,Foodservice,Colleges & Universities,Colleges/universities,Produce,Not Applicable,317303.0326,8141.743209,37566014.12,6457.834942,7923.085732,218.657477,218.657477,0,37.69533621,2.196111785,1425.359347,0,768.5914927,0,5689.243449,0,0,8129.585533,258.3068571,8387.89239,322075523.4,13205142.89
2019,Foodservice,Colleges & Universities,Colleges/universities,Ready-to-drink Beverages,Not Applicable,207337.3362,5320.110984,24546999.24,4219.784108,5177.23224,142.8787442,142.8787442,0,24.63150299,1.435019274,931.3816123,0,502.2256214,0,3717.558487,0,0,17065.61926,560.2981797,17625.91744,85079742.42,8628720.401
2019,Foodservice,Corrections,Corrections,Breads & Bakery,Not Applicable,37646.66903,965.9835565,4457049.429,796.214573,941.0324844,24.95107208,24.95107208,0,3.742680716,0.251151863,140.8240794,0,90.91153375,0,705.3030393,0,0,2139.583798,242.8570485,2382.440847,18237633.82,1568387.474
